city,covid_cases_2020,covid_cases_2021,covid_cases_2022
Berlin,500000,410500,250000
Stuttgart,470000,320000,250000
Munich,350000,240000,310000
Hamburg,480000,350000,250000
Cologne,200000,120000,80000
Frankfurt,160000,100000,41000
Düsseldorf,150000,70000,30000
Leipzig,130000,65000,40000
Dortmund,120000,80000,36000
Essen,118000,90000,20000
Bremen,90000,40000,25000
Dresden,135000,85000,60000
Hannover,110000,70000,50000
Nuremberg,70000,50000,40000
Duisburg,90000,60000,43000
Bochum,87000,50000,30000
Wuppertal,85000,70000,40000
Bielefeld,80000,55000,33000
Bonn,85000,60000,25000
Münster,45000,35000,20000
Mannheim,50000,40000,27000
Karlsruhe,80000,55000,28000
Augsburg,38000,25000,13000
Wiesbaden,30000,20000,15000
Mönchengladbach,21000,12000,7000
Gelsenkirchen,40000,27000,15000
Aachen,12000,8000,3000
Braunschweig,10000,4000,1500
Chemnitz,27000,15000,10000
Kiel,11000,10000,2800
Halle,15000,7000,9000
Magdeburg,13500,6000,8400
Freiburg im Breisgau,11000,5000,8000
Krefeld,13000,7000,6500
Mainz,7000,5000,3000
Lübeck,11000,8000,5000
Erfurt,12000,9000,5500
Oberhausen,23000,13000,9000
Rostock,20000,11000,8000
